# pdferr
# Thu Aug 28 23:39:22 2025
# columns: x,xg,xd,xc,xb,xDg,xDd,xDc,xDb
#      x          xg          xd          xc          xb         xDg         xDd         xDc         xDb
#      1           2           3           4           5           6           7           8           9
#$QQ= 1.0000e+01
  1.0535e-01  3.6910e-01  1.5247e-02  7.8966e-03  0.0000e+00  2.1185e-02  1.0528e-03  4.4247e-04  0.0000e+00
  1.0786e-01  3.6571e-01  1.5296e-02  7.7958e-03  0.0000e+00  2.0947e-02  1.0574e-03  4.3711e-04  0.0000e+00
  1.1036e-01  3.6244e-01  1.5350e-02  7.7001e-03  0.0000e+00  2.0721e-02  1.0622e-03  4.3206e-04  0.0000e+00
  1.1287e-01  3.5926e-01  1.5406e-02  7.6070e-03  0.0000e+00  2.0503e-02  1.0671e-03  4.2718e-04  0.0000e+00
  1.1538e-01  3.5617e-01  1.5465e-02  7.5168e-03  0.0000e+00  2.0294e-02  1.0721e-03  4.2248e-04  0.0000e+00
  1.1788e-01  3.5316e-01  1.5525e-02  7.4288e-03  0.0000e+00  2.0091e-02  1.0771e-03  4.1792e-04  0.0000e+00
  1.2039e-01  3.5023e-01  1.5588e-02  7.3432e-03  0.0000e+00  1.9896e-02  1.0823e-03  4.1352e-04  0.0000e+00
  1.2289e-01  3.4737e-01  1.5653e-02  7.2598e-03  0.0000e+00  1.9708e-02  1.0875e-03  4.0926e-04  0.0000e+00
  1.2540e-01  3.4459e-01  1.5719e-02  7.1785e-03  0.0000e+00  1.9526e-02  1.0928e-03  4.0512e-04  0.0000e+00
  1.2791e-01  3.4187e-01  1.5787e-02  7.0993e-03  0.0000e+00  1.9350e-02  1.0981e-03  4.0112e-04  0.0000e+00
  1.3041e-01  3.3922e-01  1.5857e-02  7.0220e-03  0.0000e+00  1.9180e-02  1.1035e-03  3.9724e-04  0.0000e+00
  1.3292e-01  3.3663e-01  1.5928e-02  6.9466e-03  0.0000e+00  1.9015e-02  1.1089e-03  3.9347e-04  0.0000e+00
  1.3542e-01  3.3410e-01  1.6000e-02  6.8729e-03  0.0000e+00  1.8855e-02  1.1144e-03  3.8980e-04  0.0000e+00
  1.3793e-01  3.3163e-01  1.6074e-02  6.8009e-03  0.0000e+00  1.8701e-02  1.1199e-03  3.8624e-04  0.0000e+00
  1.4044e-01  3.2922e-01  1.6149e-02  6.7306e-03  0.0000e+00  1.8551e-02  1.1254e-03  3.8278e-04  0.0000e+00
  1.4294e-01  3.2685e-01  1.6225e-02  6.6618e-03  0.0000e+00  1.8405e-02  1.1310e-03  3.7941e-04  0.0000e+00
  1.4545e-01  3.2454e-01  1.6303e-02  6.5945e-03  0.0000e+00  1.8264e-02  1.1366e-03  3.7613e-04  0.0000e+00
  1.4795e-01  3.2228e-01  1.6381e-02  6.5287e-03  0.0000e+00  1.8127e-02  1.1422e-03  3.7294e-04  0.0000e+00
  1.5046e-01  3.2006e-01  1.6460e-02  6.4642e-03  0.0000e+00  1.7994e-02  1.1479e-03  3.6983e-04  0.0000e+00
  1.5297e-01  3.1789e-01  1.6541e-02  6.4011e-03  0.0000e+00  1.7865e-02  1.1536e-03  3.6679e-04  0.0000e+00
  1.5547e-01  3.1576e-01  1.6622e-02  6.3393e-03  0.0000e+00  1.7739e-02  1.1593e-03  3.6383e-04  0.0000e+00
  1.5798e-01  3.1368e-01  1.6704e-02  6.2787e-03  0.0000e+00  1.7617e-02  1.1650e-03  3.6094e-04  0.0000e+00
  1.6048e-01  3.1163e-01  1.6787e-02  6.2194e-03  0.0000e+00  1.7498e-02  1.1707e-03  3.5812e-04  0.0000e+00
  1.6299e-01  3.0963e-01  1.6871e-02  6.1611e-03  0.0000e+00  1.7382e-02  1.1765e-03  3.5537e-04  0.0000e+00
  1.6550e-01  3.0766e-01  1.6956e-02  6.1040e-03  0.0000e+00  1.7269e-02  1.1822e-03  3.5268e-04  0.0000e+00
  1.6800e-01  3.0573e-01  1.7041e-02  6.0480e-03  0.0000e+00  1.7159e-02  1.1880e-03  3.5005e-04  0.0000e+00
  1.7051e-01  3.0384e-01  1.7126e-02  5.9929e-03  0.0000e+00  1.7052e-02  1.1938e-03  3.4748e-04  0.0000e+00
  1.7302e-01  3.0198e-01  1.7213e-02  5.9390e-03  0.0000e+00  1.6948e-02  1.1996e-03  3.4496e-04  0.0000e+00
  1.7552e-01  3.0015e-01  1.7300e-02  5.8859e-03  0.0000e+00  1.6846e-02  1.2054e-03  3.4250e-04  0.0000e+00
  1.7803e-01  2.9835e-01  1.7387e-02  5.8338e-03  0.0000e+00  1.6747e-02  1.2112e-03  3.4009e-04  0.0000e+00
  1.8053e-01  2.9659e-01  1.7475e-02  5.7827e-03  0.0000e+00  1.6650e-02  1.2170e-03  3.3773e-04  0.0000e+00
  1.8304e-01  2.9485e-01  1.7563e-02  5.7324e-03  0.0000e+00  1.6555e-02  1.2228e-03  3.3542e-04  0.0000e+00
  1.8555e-01  2.9315e-01  1.7652e-02  5.6829e-03  0.0000e+00  1.6463e-02  1.2286e-03  3.3316e-04  0.0000e+00
  1.8805e-01  2.9147e-01  1.7741e-02  5.6343e-03  0.0000e+00  1.6372e-02  1.2344e-03  3.3094e-04  0.0000e+00
  1.9056e-01  2.8982e-01  1.7831e-02  5.5865e-03  0.0000e+00  1.6284e-02  1.2402e-03  3.2876e-04  0.0000e+00
  1.9306e-01  2.8820e-01  1.7920e-02  5.5394e-03  0.0000e+00  1.6198e-02  1.2460e-03  3.2663e-04  0.0000e+00
  1.9557e-01  2.8660e-01  1.8011e-02  5.4931e-03  0.0000e+00  1.6114e-02  1.2518e-03  3.2453e-04  0.0000e+00
  1.9808e-01  2.8503e-01  1.8101e-02  5.4475e-03  0.0000e+00  1.6031e-02  1.2577e-03  3.2248e-04  0.0000e+00
