          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0521786   0.00811453            0      1.03769 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0613804    0.0134549            0      1.06575 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0360634   0.00488992            0      1.07854 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0373033   0.00430694            0     0.971602 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0387774     0.004779            0     0.940366 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0421377   0.00488311            0     0.923069 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0499374   0.00708055            0     0.933789 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0554987     0.010362            0     0.931806 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0290442   0.00462396            0      1.01962 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0277597   0.00309171            0     0.971265 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0278871   0.00287819            0     0.895503 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0291591   0.00376925            0     0.917073 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0323204   0.00415461            0     0.957289 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687     0.039545   0.00614687            0     0.972411 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0446337   0.00746547            0     0.802129 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0292842   0.00319415            0      1.02636 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0243747   0.00260699            0      1.00641 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0227734   0.00249406            0     0.951023 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0225981   0.00308417            0     0.948618 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0233577     0.010347            0        1.107 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0254962    0.0102513            0      1.16151 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0479956   0.00757963            0     0.828826 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334     0.039753   0.00458334            0     0.961765 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577     0.031861   0.00407577            0      1.12369 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0288511    0.0128481            0      1.15666 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0268061     0.010735            0     0.774972 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0699167    0.0247778            0      1.13476 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0436052   0.00658084            0     0.907208 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0462971    0.0077914            0      0.96425 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0500691   0.00814596            0      1.10347 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724    0.0580879    0.0113724            0     0.947341 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788    0.0336039   0.00653788            0      1.03253 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0331656   0.00408189            0     0.999531 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0331394   0.00370329            0      0.89362 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0342333   0.00536178            0      1.01355 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0372327   0.00581978            0      1.09216 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472    0.0443655   0.00723472            0      1.05106 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271      0.04946    0.0105271            0      1.05898 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0318652   0.00399163            0     0.957093 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0277349   0.00353567            0        1.004 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0258109   0.00336228            0     0.967537 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0254064   0.00294525            0     0.808971 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0260036   0.00447234            0     0.849882 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0279822    0.0120568            0     0.829277 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0328893    0.0284064            0       1.1356 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803     0.048123    0.0229803            0      1.10677 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627    0.0401882   0.00753627            0      1.03933 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0322159   0.00390641            0     0.960396 
        26.5        0.025        0.562      4.54456      48     0.030056    0.0181922    0.0276107    0.0181922            0      1.08856 
          46         0.05       0.0178      50.3812      49     0.069173    0.0131403    0.0565695    0.0131403            0       1.2228 
          46        0.075       0.0178      50.3812      50     0.048178    0.0166424    0.0658005    0.0166424            0     0.732182 
          46        0.016       0.0562       27.794      51     0.036023   0.00654281     0.037298   0.00654281            0     0.965815 
          46        0.025       0.0562       27.794      52     0.038012   0.00665438    0.0378813   0.00665438            0      1.00345 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858    0.0390066   0.00590858            0     0.895181 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376    0.0419511   0.00721376            0      1.04834 
          46        0.075       0.0562       27.794      55     0.046852    0.0081196    0.0490658    0.0081196            0      0.95488 
          46         0.09       0.0562       27.794      56     0.059007    0.0103727    0.0541955    0.0103727            0      1.08878 
          46       0.0085        0.178      14.5749      57     0.026741   0.00407298    0.0305494   0.00407298            0     0.875337 
          46        0.016        0.178      14.5749      58     0.029393   0.00405964     0.028493   0.00405964            0      1.03159 
          46        0.025        0.178      14.5749      59     0.029835   0.00514288    0.0279126   0.00514288            0      1.06887 
