          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0519206   0.00999004            0     0.878265 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0547081    0.0111529            0     0.910285 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588     0.023754    0.0028588            0     0.934578 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0244137   0.00264141            0     0.929804 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0249046   0.00279791            0      1.02792 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0255625   0.00266458            0      1.12665 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876     0.027424   0.00259876            0      1.02465 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0311079   0.00271692            0      0.91295 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0346499   0.00472216            0       1.0938 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0359748   0.00420408            0     0.972904 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0373323   0.00380055            0     0.846452 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0385762    0.0044557            0      1.06802 
