          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0619053   0.00422849            0      1.01995 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0303354   0.00177925            0      1.06377 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0361785   0.00200318            0      1.00889 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0442809   0.00249596            0      1.00224 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0304539   0.00543786            0       1.3486 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0372771    0.0020853            0      1.03012 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0449557   0.00252666            0      1.00588 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0380542   0.00213316            0      1.02275 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0455894   0.00251538            0     0.993213 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0456214   0.00283987            0     0.988572 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0379736    0.0128154            0      1.36568 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0458651   0.00268353            0       1.0387 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0437489   0.00278502            0      1.02837 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0456637    0.0028087            0      1.03321 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0414579   0.00278897            0      1.04781 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0398582   0.00285463            0       1.0156 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0270533   0.00155509            0      1.00246 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0267563   0.00150678            0      1.00836 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227     0.026666   0.00147227            0     0.995652 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0285776    0.0015435            0     0.962641 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0337732   0.00191624            0      1.00316 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0406897   0.00242361            0      1.03048 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0276881    0.0058291            0      1.35943 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0285339    0.0015568            0     0.974279 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0283785   0.00151053            0     0.962699 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0299747    0.0015762            0     0.968484 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0346707    0.0018957            0     0.994789 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0402383   0.00229023            0      1.00178 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0300262   0.00157364            0     0.917198 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0302878   0.00165378            0     0.989178 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0316132   0.00170842            0      1.01034 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0356902   0.00196608            0      1.01372 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0395763   0.00223667            0     0.992261 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0301034   0.00775255            0      1.21083 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0313879   0.00171676            0      1.00548 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0327317   0.00172981            0     0.979174 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0363902   0.00200364            0      1.01841 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0389477   0.00225268            0      1.00365 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0320367   0.00179729            0      0.97763 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178     0.034017   0.00178178            0     0.978923 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0371771   0.00201692            0     0.992815 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0381422   0.00237371            0      1.04215 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0345624   0.00184337            0      0.95653 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0376046   0.00213522            0      1.02966 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0375266    0.0023571            0      1.02434 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967     0.037882   0.00214967            0     0.996779 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0368037   0.00233559            0      1.01294 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0357351   0.00279854            0     0.988383 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421     0.031487   0.00194421            0      0.95722 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0294515   0.00188288            0      1.00708 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0266629    0.0017153            0      1.02464 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0240888   0.00159322            0      1.05651 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0224761   0.00136807            0     0.963244 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0224083   0.00150609            0      1.01882 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0245573   0.00173786            0     0.985449 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0328678   0.00584544            0      1.10716 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0320862   0.00198524            0      1.00542 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0292318   0.00186281            0       1.0492 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0262547   0.00156213            0     0.980015 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0242062   0.00142064            0     0.983632 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0237827   0.00138284            0     0.966667 
          15         0.01         0.32      5.64579      61      0.02456   0.00148563    0.0255717   0.00148563            0     0.960436 
          20         0.01        0.032      24.5967      62      0.03445   0.00225325    0.0344894   0.00225325            0     0.998856 
          20         0.01         0.05      19.4936      63      0.03209   0.00200479    0.0322228   0.00200479            0     0.995878 
          20         0.01         0.08      15.1658      64      0.02971   0.00185348    0.0289111   0.00185348            0      1.02763 
          20         0.01         0.13      11.5692      65      0.02658   0.00159878    0.0263419   0.00159878            0      1.00904 
          20         0.01          0.2      8.94427      66      0.02542   0.00156328    0.0254595   0.00156328            0     0.998449 
          20         0.01         0.32       6.5192      67      0.02663   0.00158129    0.0267801   0.00158129            0     0.994395 
          20         0.01          0.5      4.47214      68       0.0287   0.00179576    0.0302631   0.00179576            0     0.948349 
          25         0.01        0.032         27.5      69      0.03306   0.00700256    0.0348799   0.00700256            0     0.947825 
          25         0.01         0.05      21.7945      70      0.03307   0.00205513    0.0340139   0.00205513            0     0.972249 
          25         0.01         0.08      16.9558      71      0.03202   0.00196734    0.0307445   0.00196734            0      1.04149 
          25         0.01         0.13      12.9347      72      0.02889   0.00176584    0.0278672   0.00176584            0       1.0367 
          25         0.01          0.2           10      73      0.02686   0.00160891    0.0266627   0.00160891            0       1.0074 
          25         0.01         0.32      7.28869      74      0.02769   0.00168773    0.0276472   0.00168773            0      1.00155 
          25         0.01          0.5            5      75      0.03028   0.00186216    0.0306051   0.00186216            0     0.989378 
          25         0.01          0.8          2.5      76      0.02928   0.00259966    0.0285644   0.00259966            0      1.02505 
          35         0.01         0.05      25.7876      77      0.03551   0.00235279     0.035395   0.00235279            0      1.00325 
          35         0.01         0.08      20.0624      78      0.03243   0.00208765    0.0331512   0.00208765            0     0.978244 
          35         0.01         0.13      15.3046      79      0.03161   0.00190816    0.0300284   0.00190816            0      1.05267 
          35         0.01          0.2      11.8322      80      0.02963   0.00178298    0.0283483   0.00178298            0      1.04521 
          35         0.01         0.32      8.62409      81      0.02729   0.00173908    0.0287752   0.00173908            0     0.948387 
          35         0.01          0.5      5.91608      82      0.03171   0.00195602    0.0309704   0.00195602            0      1.02388 
          35         0.01          0.8      2.95804      83       0.0284   0.00194224    0.0270978   0.00194224            0      1.04806 
          45         0.01         0.08      22.7486      84      0.03368    0.0022267    0.0343312    0.0022267            0     0.981033 
          45         0.01         0.13      17.3538      85      0.03212   0.00196694    0.0314258   0.00196694            0      1.02209 
          45         0.01          0.2      13.4164      86      0.02994   0.00183808    0.0294845   0.00183808            0      1.01545 
          45         0.01         0.32       9.7788      87       0.0291   0.00183168    0.0295174   0.00183168            0      0.98586 
          45         0.01          0.5       6.7082      88      0.03255   0.00203144     0.031166   0.00203144            0      1.04441 
          45         0.01          0.8       3.3541      89      0.02606   0.00181019    0.0260931   0.00181019            0     0.998733 
          60         0.01         0.13      20.0384      90      0.03316   0.00216228    0.0326702   0.00216228            0      1.01499 
          60         0.01          0.2      15.4919      91      0.03013    0.0018683    0.0306304    0.0018683            0     0.983663 
          60         0.01         0.32      11.2916      92      0.03138   0.00191238    0.0302675   0.00191238            0      1.03676 
