  iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio       Q2_min       Q2_max       Pt_min       Pt_max 
      0        3.357     0.549357      3.45492     0.549357            0     0.971658            4            6          5.5            7 
      1        1.231     0.233581     0.987633     0.233581            0      1.24641            4            6            7            9 
      2        0.122    0.0368464    0.0893261    0.0368464            0      1.36578            4            6            9           15 
      3        1.844     0.250681      1.88592     0.250681            0     0.977774            6           10          5.5            7 
      4        0.579    0.0975229     0.558387    0.0975229            0      1.03691            6           10            7            9 
      5        0.051    0.0155917    0.0526095    0.0155917            0     0.969406            6           10            9           15 
      6        0.834     0.110403     0.864977     0.110403            0     0.964188           10           18          5.5            7 
      7        0.287    0.0495786      0.27276    0.0495786            0      1.05221           10           18            7            9 
      8        0.021   0.00745357     0.026663   0.00745357            0      0.78761           10           18            9           15 
      9        0.344    0.0487604     0.342338    0.0487604            0      1.00485           18           34          5.5            7 
     10          0.1     0.020759     0.115381     0.020759            0     0.866693           18           34            7            9 
     11        0.016   0.00396906    0.0121051   0.00396906            0      1.32176           18           34            9           15 
     12        0.061   0.00991691    0.0728616   0.00991691            0     0.837204           34          100          5.5            7 
     13        0.028   0.00581253    0.0270836   0.00581253            0      1.03384           34          100            7            9 
     14        0.003  0.000961484   0.00332087  0.000961484            0     0.903377           34          100            9           15 
