          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0624269   0.00422849            0      1.01142 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0310747   0.00177925            0      1.03846 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0364133   0.00200318            0      1.00238 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0446463   0.00249596            0     0.994035 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0316115   0.00543786            0      1.29921 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0376553    0.0020853            0      1.01978 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0453072   0.00252666            0     0.998076 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0387412   0.00213316            0      1.00462 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0459623   0.00251538            0     0.985155 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0453736   0.00283987            0     0.993971 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0389683    0.0128154            0      1.33082 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0462691   0.00268353            0      1.02963 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0438671   0.00278502            0       1.0256 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0463108    0.0028087            0      1.01877 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0416984   0.00278897            0      1.04177 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463     0.040151   0.00285463            0      1.00819 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0278588   0.00155509            0      0.97348 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0272755   0.00150678            0     0.989165 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0269056   0.00147227            0     0.986783 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0286964    0.0015435            0     0.958657 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624      0.03403   0.00191624            0     0.995593 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0410388   0.00242361            0      1.02171 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0286319    0.0058291            0      1.31462 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0290361    0.0015568            0     0.957429 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0286149   0.00151053            0     0.954748 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0301232    0.0015762            0     0.963708 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0349242    0.0018957            0     0.987567 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0405837   0.00229023            0     0.993257 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0306579   0.00157364            0     0.898301 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0305753   0.00165378            0     0.979875 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0318175   0.00170842            0      1.00385 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0359515   0.00196608            0      1.00636 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0399407   0.00223667            0     0.983208 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0310623   0.00775255            0      1.17345 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0318007   0.00171676            0     0.992431 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0329835   0.00172981            0     0.971698 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0366347   0.00200364            0      1.01161 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0394296   0.00225268            0     0.991388 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0328056   0.00179729            0     0.954715 
