          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0529338   0.00999004            0     0.861453 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0566542    0.0111529            0     0.879017 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0246839    0.0028588            0     0.899373 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0253061   0.00264141            0     0.897017 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0256309   0.00279791            0     0.998795 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458     0.025985   0.00266458            0      1.10833 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0275959   0.00259876            0      1.01827 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0312869   0.00271692            0     0.907728 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0354185   0.00472216            0      1.07006 
          44        0.003        0.386      8.36598       9        0.035   0.00420408     0.036596   0.00420408            0     0.956388 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0378353   0.00380055            0     0.835199 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0390246    0.0044557            0      1.05574 
