          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858    0.0389566   0.00590858            0      0.89633 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376    0.0420317   0.00721376            0      1.04633 
          46        0.075       0.0562       27.794      55     0.046852    0.0081196    0.0493858    0.0081196            0     0.948693 
          46         0.09       0.0562       27.794      56     0.059007    0.0103727    0.0546657    0.0103727            0      1.07942 
          46       0.0085        0.178      14.5749      57     0.026741   0.00407298    0.0308801   0.00407298            0     0.865963 
          46        0.016        0.178      14.5749      58     0.029393   0.00405964    0.0288132   0.00405964            0      1.02012 
          46        0.025        0.178      14.5749      59     0.029835   0.00514288    0.0282666   0.00514288            0      1.05549 
          46        0.035        0.178      14.5749      60     0.028509    0.0045173    0.0287745    0.0045173            0     0.990773 
          46         0.05        0.178      14.5749      61     0.032708   0.00538064    0.0306933   0.00538064            0      1.06564 
          46        0.075        0.178      14.5749      62     0.044421   0.00927176    0.0356002   0.00927176            0      1.24777 
          46         0.09        0.178      14.5749      63     0.039117    0.0108588    0.0391762    0.0108588            0     0.998489 
          46       0.0025        0.562      5.98753      64     0.043316   0.00618707    0.0404815   0.00618707            0      1.07002 
          46       0.0085        0.562      5.98753      65     0.029835   0.00417978    0.0326022   0.00417978            0     0.915123 
          46        0.016        0.562      5.98753      66     0.027404    0.0041772    0.0295291    0.0041772            0     0.928033 
          46        0.025        0.562      5.98753      67     0.023426   0.00586235    0.0279843   0.00586235            0     0.837111 
          46        0.035        0.562      5.98753      68     0.029835   0.00835849    0.0273269   0.00835849            0      1.09178 
          46         0.05        0.562      5.98753      69      0.02652    0.0120667    0.0273313    0.0120667            0     0.970316 
          80        0.035       0.0562      36.6536      70     0.050167    0.0173923      0.04283    0.0173923            0      1.17131 
          80         0.05       0.0562      36.6536      71     0.051935    0.0143739    0.0461545    0.0143739            0      1.12524 
          80        0.075       0.0562      36.6536      72     0.047736    0.0206119     0.053648    0.0206119            0       0.8898 
          80       0.0085        0.178      19.2208      73     0.045526    0.0127262    0.0329034    0.0127262            0      1.38363 
          80        0.016        0.178      19.2208      74     0.029393   0.00713548    0.0311618   0.00713548            0     0.943239 
          80        0.025        0.178      19.2208      75     0.032266   0.00729811    0.0305242   0.00729811            0      1.05706 
          80        0.035        0.178      19.2208      76     0.035802   0.00932475    0.0309275   0.00932475            0      1.15761 
          80         0.05        0.178      19.2208      77     0.032266   0.00896821    0.0327299   0.00896821            0     0.985825 
          80        0.075        0.178      19.2208      78     0.040443    0.0188444    0.0375085    0.0188444            0      1.07823 
          80       0.0085        0.562      7.89612      79     0.025636   0.00561639    0.0324009   0.00561639            0     0.791212 
          80        0.016        0.562      7.89612      80      0.01989   0.00540426    0.0293356   0.00540426            0     0.678017 
          80        0.025        0.562      7.89612      81     0.022984   0.00743695    0.0277749   0.00743695            0     0.827509 
          80        0.035        0.562      7.89612      82     0.024089    0.0108888    0.0270882    0.0108888            0     0.889279 
         200         0.05       0.0562      57.9545      83     0.035802    0.0174588    0.0497941    0.0174588            0        0.719 
         200        0.075       0.0562      57.9545      84     0.063648    0.0409655    0.0591971    0.0409655            0      1.07519 
         200        0.016        0.178      30.3907      85     0.032045    0.0116307    0.0330871    0.0116307            0     0.968504 
         200        0.025        0.178      30.3907      86     0.043979    0.0129167    0.0332653    0.0129167            0      1.32207 
         200        0.035        0.178      30.3907      87     0.037349    0.0148262    0.0337635    0.0148262            0       1.1062 
         200         0.05        0.178      30.3907      88     0.051935    0.0188618    0.0355011    0.0188618            0      1.46291 
         200        0.075        0.178      30.3907      89     0.046189    0.0284113    0.0401332    0.0284113            0      1.15089 
         200       0.0085        0.562      12.4849      90     0.024089   0.00869132    0.0316694   0.00869132            0     0.760639 
         200        0.016        0.562      12.4849      91     0.020553   0.00853771    0.0287171   0.00853771            0     0.715705 
         200        0.025        0.562      12.4849      92     0.016354   0.00804992    0.0271691   0.00804992            0     0.601934 
         200        0.035        0.562      12.4849      93     0.034918    0.0205146    0.0264605    0.0205146            0      1.31963 
         200         0.05        0.562      12.4849      94     0.033371    0.0168694    0.0263448    0.0168694            0       1.2667 
         200        0.075        0.562      12.4849      95     0.050388    0.0437681    0.0273983    0.0437681            0      1.83909 
